customer_id,gender,age,city,Order_id,restaurant_name,dish_name,category,qunatity,price,payment_method,order_frequency,loyality_points,churned,rating,delivery_status
C5663,Male,Adult,Peshawar,O9663,McDonald's,Burger,Italian,5,1478.27,Cash,38,238,Active,3,Cancelled
C2831,Male,Adult,Multan,O6831,KFC,Burger,Italian,3,956.04,Wallet,24,81,Active,2,Delayed
C2851,Other,Senior,Multan,O6851,Pizza Hut,Fries,Italian,2,882.51,Cash,42,82,Inactive,3,Delayed
C1694,Female,Senior,Peshawar,O5694,Subway,Pizza,Dessert,4,231.3,Card,27,45,Inactive,2,Delayed
C4339,Other,Senior,Lahore,O8339,KFC,Sandwich,Dessert,1,1156.69,Cash,35,418,Inactive,3,Cancelled
C6543,Other,Adult,Karachi,O10543,Burger King,Pizza,Fast Food,5,1213.62,Cash,45,418,Inactive,4,Delivered
C6423,Male,Adult,Lahore,O10423,McDonald's,Pasta,Continental,5,672.91,Wallet,31,347,Active,1,Cancelled
C4621,Male,Adult,Peshawar,O8621,Pizza Hut,Pizza,Chinese,2,271.74,Cash,14,429,Active,2,Delivered
C5146,Other,Senior,Karachi,O9146,KFC,Pizza,Dessert,5,596.96,Wallet,1,24,Active,4,Delayed
C3579,Male,Adult,Karachi,O7579,Pizza Hut,Pizza,Continental,2,1443.25,Cash,15,270,Inactive,3,Delayed
C5535,Male,Adult,Lahore,O9535,Subway,Sandwich,Continental,2,645.52,Cash,32,133,Active,4,Delayed
C3894,Female,Senior,Multan,O7894,Burger King,Burger,Fast Food,1,126.53,Wallet,45,48,Inactive,2,Cancelled
C4071,Male,Senior,Islamabad,O8071,Subway,Pizza,Italian,1,465.75,Card,29,394,Active,4,Cancelled
C4231,Female,Senior,Multan,O8231,Burger King,Sandwich,Continental,3,796.91,Wallet,39,5,Inactive,5,Delivered
C3914,Male,Teenager,Islamabad,O7914,KFC,Pizza,Fast Food,4,1140.76,Wallet,23,492,Inactive,5,Delayed
C5681,Other,Adult,Islamabad,O9681,Subway,Pizza,Continental,1,1285.18,Cash,10,196,Inactive,2,Delayed
C4975,Female,Teenager,Karachi,O8975,Burger King,Burger,Dessert,1,673.86,Wallet,38,439,Inactive,2,Delivered
C2876,Female,Senior,Islamabad,O6876,KFC,Burger,Chinese,2,330.93,Cash,45,455,Active,2,Cancelled
C6144,Other,Teenager,Peshawar,O10144,Subway,Pasta,Fast Food,2,991.17,Wallet,6,101,Active,2,Cancelled
C5092,Female,Adult,Lahore,O9092,Subway,Pasta,Chinese,1,1485.16,Card,46,171,Inactive,3,Delayed
C2747,Female,Adult,Lahore,O6747,Subway,Sandwich,Italian,2,802.12,Wallet,22,32,Inactive,4,Cancelled
C3406,Female,Teenager,Lahore,O7406,Pizza Hut,Sandwich,Italian,1,1394.47,Cash,13,273,Inactive,2,Delayed
C2975,Male,Teenager,Multan,O6975,Pizza Hut,Pizza,Italian,3,1287.69,Wallet,49,35,Active,4,Delivered
C5497,Other,Adult,Lahore,O9497,Burger King,Pasta,Continental,5,785.37,Card,49,463,Active,2,Delivered
C2748,Other,Teenager,Karachi,O6748,Pizza Hut,Fries,Dessert,2,1304.8,Cash,2,435,Inactive,1,Cancelled
C1929,Female,Teenager,Peshawar,O5929,KFC,Fries,Continental,1,599.7,Wallet,35,172,Active,4,Delayed
C5124,Male,Adult,Lahore,O9124,McDonald's,Burger,Continental,3,1065.15,Cash,38,250,Inactive,2,Cancelled
C6250,Male,Teenager,Lahore,O10250,McDonald's,Pasta,Chinese,5,576.33,Card,7,60,Active,3,Cancelled
C1351,Female,Adult,Karachi,O5351,KFC,Fries,Chinese,3,761.47,Card,3,240,Inactive,2,Delivered
C5795,Female,Senior,Islamabad,O9795,KFC,Pizza,Italian,5,1267.2,Card,32,72,Active,5,Delayed
C5513,Male,Teenager,Islamabad,O9513,KFC,Pizza,Continental,3,1044.89,Card,31,496,Inactive,2,Delayed
